@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE minWidth NUMERIC
@ATTRIBUTE minHeight NUMERIC
@ATTRIBUTE maxWidth NUMERIC
@ATTRIBUTE maxHeight NUMERIC
@ATTRIBUTE directionTaken {0,1,2,3}
@ATTRIBUTE futureScore NUMERIC

@DATA
1.0,10.0,12.0,5.0,10.0,4.0,1.0,3.0,29.0,19.0,1,-9.0
1.0,9.0,12.0,5.0,9.0,4.0,1.0,3.0,29.0,19.0,1,-10.0
1.0,8.0,12.0,5.0,10.0,6.0,1.0,3.0,29.0,19.0,1,-11.0
1.0,7.0,12.0,4.0,10.0,6.0,1.0,3.0,29.0,19.0,1,-12.0
1.0,6.0,13.0,4.0,10.0,7.0,1.0,3.0,29.0,19.0,1,-13.0
2.0,6.0,7.0,4.0,10.0,6.0,1.0,3.0,29.0,19.0,3,-14.0
3.0,6.0,15.0,4.0,9.0,4.0,1.0,3.0,29.0,19.0,3,-15.0
3.0,7.0,13.0,4.0,8.0,2.0,1.0,3.0,29.0,19.0,0,-16.0
3.0,8.0,13.0,4.0,8.0,1.0,1.0,3.0,29.0,19.0,0,183.0
4.0,8.0,15.0,8.0,5.0,7.0,1.0,3.0,29.0,19.0,3,182.0
5.0,8.0,15.0,8.0,4.0,7.0,1.0,3.0,29.0,19.0,3,181.0
6.0,8.0,14.0,9.0,4.0,7.0,1.0,3.0,29.0,19.0,3,180.0
6.0,7.0,14.0,9.0,4.0,6.0,1.0,3.0,29.0,19.0,1,179.0
6.0,6.0,11.0,9.0,5.0,4.0,1.0,3.0,29.0,19.0,1,178.0
7.0,6.0,3.0,8.0,5.0,2.0,1.0,3.0,29.0,19.0,3,377.0
8.0,6.0,15.0,19.0,4.0,13.0,1.0,3.0,29.0,19.0,3,376.0
8.0,7.0,13.0,20.0,4.0,15.0,1.0,3.0,29.0,19.0,0,375.0
8.0,8.0,13.0,20.0,5.0,15.0,1.0,3.0,29.0,19.0,0,374.0
8.0,9.0,13.0,19.0,5.0,15.0,1.0,3.0,29.0,19.0,0,373.0
8.0,10.0,13.0,19.0,6.0,15.0,1.0,3.0,29.0,19.0,0,372.0
8.0,11.0,13.0,20.0,6.0,17.0,1.0,3.0,29.0,19.0,0,371.0
8.0,12.0,15.0,21.0,6.0,19.0,1.0,3.0,29.0,19.0,0,370.0
