@RELATION pacmanGameStates

@ATTRIBUTE numActions NUMERIC
@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE numFood NUMERIC
@ATTRIBUTE distFood NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E,X}

@DATA
9.0,1.0,10.0,25.0,5.0,10.0,4.0,0.0,0.0,-8.0,S
10.0,1.0,9.0,25.0,5.0,9.0,4.0,0.0,0.0,-9.0,S
11.0,1.0,8.0,25.0,2.0,5.0,4.0,0.0,0.0,-10.0,S
12.0,1.0,7.0,25.0,2.0,5.0,3.0,0.0,0.0,-11.0,S
13.0,1.0,6.0,27.0,2.0,5.0,2.0,0.0,0.0,-12.0,S
14.0,2.0,6.0,15.0,2.0,5.0,1.0,0.0,0.0,-13.0,E
15.0,2.0,5.0,31.0,6.0,9.0,8.0,0.0,0.0,386.0,S
16.0,2.0,6.0,15.0,5.0,9.0,6.0,0.0,0.0,385.0,N
17.0,3.0,6.0,31.0,5.0,10.0,6.0,0.0,0.0,384.0,E
18.0,3.0,7.0,27.0,4.0,10.0,4.0,0.0,0.0,383.0,N
19.0,3.0,8.0,27.0,5.0,10.0,4.0,0.0,0.0,382.0,N
20.0,3.0,9.0,27.0,4.0,10.0,2.0,0.0,0.0,381.0,N
21.0,3.0,10.0,11.0,11.0,6.0,13.0,0.0,0.0,580.0,N
22.0,4.0,10.0,15.0,11.0,5.0,11.0,0.0,0.0,579.0,E
23.0,5.0,10.0,15.0,11.0,6.0,9.0,0.0,0.0,578.0,E
24.0,6.0,10.0,13.0,10.0,6.0,7.0,0.0,0.0,577.0,E
25.0,6.0,9.0,29.0,10.0,7.0,6.0,0.0,0.0,576.0,S
26.0,6.0,8.0,29.0,10.0,7.0,4.0,0.0,0.0,575.0,S
27.0,6.0,7.0,29.0,10.0,8.0,4.0,0.0,0.0,574.0,S
28.0,6.0,6.0,23.0,9.0,8.0,4.0,0.0,0.0,573.0,S
29.0,7.0,6.0,7.0,9.0,7.0,4.0,0.0,0.0,572.0,E
30.0,8.0,6.0,31.0,9.0,8.0,3.0,0.0,0.0,571.0,E
31.0,8.0,7.0,27.0,9.0,8.0,3.0,0.0,0.0,570.0,N
32.0,8.0,8.0,27.0,10.0,8.0,3.0,0.0,0.0,569.0,N
33.0,9.0,8.0,31.0,10.0,9.0,3.0,0.0,0.0,568.0,E
34.0,9.0,9.0,31.0,11.0,9.0,2.0,0.0,0.0,567.0,N
35.0,10.0,9.0,31.0,11.0,9.0,1.0,0.0,0.0,566.0,X
1.0,9.0,1.0,7.0,9.0,7.0,6.0,114.0,1.0,0.0,X
2.0,8.0,1.0,7.0,7.0,7.0,7.0,113.0,1.0,99.0,W
3.0,7.0,1.0,7.0,7.0,7.0,6.0,112.0,1.0,198.0,W
4.0,6.0,1.0,19.0,6.0,7.0,6.0,111.0,1.0,297.0,W
5.0,6.0,2.0,25.0,6.0,8.0,6.0,110.0,1.0,396.0,N
6.0,6.0,3.0,31.0,6.0,9.0,6.0,109.0,1.0,495.0,N
7.0,6.0,4.0,29.0,5.0,9.0,6.0,108.0,1.0,594.0,N
8.0,6.0,5.0,29.0,6.0,9.0,4.0,107.0,1.0,693.0,N
9.0,6.0,6.0,29.0,5.0,9.0,4.0,106.0,1.0,792.0,N
10.0,6.0,7.0,31.0,9.0,7.0,3.0,105.0,1.0,891.0,N
11.0,7.0,7.0,7.0,9.0,8.0,3.0,105.0,2.0,890.0,E
12.0,8.0,7.0,7.0,9.0,7.0,1.0,105.0,3.0,889.0,E
13.0,9.0,7.0,23.0,9.0,8.0,1.0,105.0,2.0,1088.0,E
14.0,9.0,8.0,27.0,10.0,7.0,1.0,105.0,1.0,1287.0,N
15.0,10.0,8.0,29.0,9.0,7.0,1.0,105.0,1.0,1286.0,E
16.0,10.0,7.0,23.0,9.0,8.0,1.0,105.0,2.0,1285.0,S
17.0,10.0,8.0,29.0,3.0,9.0,8.0,105.0,1.0,1484.0,N
18.0,10.0,7.0,23.0,4.0,9.0,8.0,105.0,2.0,1483.0,S
19.0,9.0,7.0,23.0,4.0,9.0,7.0,105.0,2.0,1482.0,W
20.0,8.0,7.0,7.0,4.0,10.0,7.0,105.0,3.0,1481.0,W
21.0,7.0,7.0,7.0,4.0,9.0,5.0,105.0,2.0,1480.0,W
22.0,6.0,7.0,31.0,4.0,9.0,4.0,105.0,1.0,1479.0,W
23.0,6.0,8.0,25.0,3.0,9.0,4.0,104.0,1.0,1578.0,N
24.0,6.0,9.0,31.0,4.0,9.0,2.0,103.0,1.0,1677.0,N
25.0,5.0,9.0,7.0,3.0,9.0,2.0,102.0,1.0,1776.0,X
1.0,12.0,10.0,7.0,13.0,12.0,3.0,0.0,0.0,0.0,X
2.0,13.0,10.0,15.0,13.0,12.0,2.0,0.0,0.0,-1.0,E
3.0,14.0,10.0,15.0,14.0,7.0,3.0,0.0,0.0,-2.0,E
4.0,14.0,9.0,31.0,14.0,8.0,1.0,0.0,0.0,-3.0,S
5.0,14.0,8.0,31.0,13.0,12.0,5.0,0.0,0.0,196.0,S
6.0,14.0,9.0,31.0,13.0,12.0,4.0,0.0,0.0,195.0,N
7.0,14.0,10.0,15.0,13.0,12.0,4.0,0.0,0.0,194.0,N
8.0,15.0,10.0,31.0,12.0,12.0,6.0,0.0,0.0,193.0,E
9.0,15.0,11.0,27.0,11.0,12.0,5.0,0.0,0.0,192.0,N
10.0,15.0,12.0,27.0,11.0,12.0,4.0,0.0,0.0,191.0,N
11.0,15.0,13.0,27.0,11.0,12.0,5.0,0.0,0.0,190.0,N
12.0,15.0,14.0,15.0,11.0,12.0,5.0,0.0,0.0,189.0,N
13.0,14.0,14.0,7.0,12.0,12.0,5.0,0.0,0.0,188.0,W
14.0,13.0,14.0,7.0,11.0,12.0,5.0,0.0,0.0,187.0,W
15.0,12.0,14.0,7.0,10.0,12.0,4.0,0.0,0.0,186.0,W
16.0,11.0,14.0,7.0,9.0,12.0,3.0,0.0,0.0,185.0,W
17.0,10.0,14.0,15.0,9.0,13.0,1.0,0.0,0.0,184.0,W
18.0,10.0,13.0,29.0,8.0,13.0,2.0,0.0,0.0,383.0,S
19.0,9.0,13.0,31.0,8.0,14.0,2.0,0.0,0.0,382.0,W
20.0,9.0,14.0,15.0,7.0,14.0,2.0,0.0,0.0,381.0,N
21.0,8.0,14.0,15.0,8.0,5.0,9.0,0.0,0.0,580.0,W
22.0,7.0,14.0,7.0,8.0,6.0,9.0,0.0,0.0,579.0,W
23.0,6.0,14.0,7.0,8.0,5.0,11.0,0.0,0.0,578.0,W
24.0,5.0,14.0,7.0,7.0,5.0,11.0,0.0,0.0,577.0,W
25.0,4.0,14.0,7.0,8.0,5.0,13.0,0.0,0.0,576.0,W
26.0,3.0,14.0,15.0,8.0,6.0,13.0,0.0,0.0,575.0,W
27.0,3.0,13.0,29.0,8.0,5.0,13.0,0.0,0.0,574.0,S
28.0,3.0,12.0,29.0,8.0,4.0,13.0,0.0,0.0,573.0,S
29.0,3.0,11.0,29.0,8.0,4.0,12.0,0.0,0.0,572.0,S
30.0,3.0,10.0,31.0,8.0,4.0,11.0,0.0,0.0,571.0,S
31.0,4.0,10.0,15.0,8.0,3.0,11.0,0.0,0.0,570.0,E
