@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE minWidth NUMERIC
@ATTRIBUTE minHeight NUMERIC
@ATTRIBUTE maxWidth NUMERIC
@ATTRIBUTE maxHeight NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E}

@DATA
2,2,14,15,7,1,3,19,13,18,S
2,1,11,15,7,1,3,19,13,19,S
3,1,3,15,6,1,3,19,13,17,E
4,1,11,15,6,1,3,19,13,16,E
4,2,13,14,6,1,3,19,13,14,N
4,3,13,14,6,1,3,19,13,13,N
4,4,13,14,7,1,3,19,13,13,N
4,5,13,14,8,1,3,19,13,13,N
4,6,13,15,8,1,3,19,13,13,N
4,7,13,13,10,1,3,19,13,11,N
4,8,13,13,9,1,3,19,13,10,N
4,9,13,13,9,1,3,19,13,10,N
5,9,15,14,9,1,3,19,13,9,E
6,9,15,15,9,1,3,19,13,9,E
7,9,15,14,8,1,3,19,13,7,E
8,9,15,14,9,1,3,19,13,5,E
9,9,15,13,9,1,3,19,13,5,E
10,9,15,14,8,1,3,19,13,5,E
11,9,15,13,8,1,3,19,13,3,E
12,9,15,14,8,1,3,19,13,3,E
13,9,15,14,9,1,3,19,13,1,E
14,9,15,15,8,1,3,19,13,2,E
15,9,15,15,8,1,3,19,13,1,E
15,8,15,17,11,1,3,19,13,5,S
15,9,15,16,11,1,3,19,13,3,N
15,10,7,16,10,1,3,19,13,1,N
9,1,3,9,7,1,3,19,12,6,E
8,1,3,7,7,1,3,19,12,7,W
7,1,3,8,7,1,3,19,12,7,W
6,1,9,8,7,1,3,19,12,8,W
6,2,12,9,7,1,3,19,12,8,N
6,3,15,8,7,1,3,19,12,6,N
6,4,14,9,7,1,3,19,12,6,N
6,5,14,9,7,1,3,19,12,5,N
6,6,14,9,7,1,3,19,12,3,N
6,7,15,8,7,1,3,19,12,1,N
7,7,3,9,7,1,3,19,12,2,E
8,7,3,10,7,1,3,19,12,2,E
9,7,11,9,8,1,3,19,12,1,E
12,10,3,13,12,1,3,19,15,3,E
13,10,7,13,12,1,3,19,15,3,E
14,10,7,12,12,1,3,19,15,4,E
15,10,15,12,12,1,3,19,15,4,E
15,11,13,13,12,1,3,19,15,4,N
15,12,13,12,12,1,3,19,15,3,N
15,13,13,12,12,1,3,19,15,3,N
15,14,7,13,12,1,3,19,15,4,N
14,14,3,13,12,1,3,19,15,3,W
13,14,3,13,12,1,3,19,15,3,W
12,14,3,12,12,1,3,19,15,3,W
11,14,3,13,12,1,3,19,15,3,W
10,14,7,8,12,1,3,19,15,4,W
10,13,14,8,13,1,3,19,15,2,S
9,13,15,8,14,1,3,19,15,2,W
9,14,7,7,14,1,3,19,15,2,N
8,14,7,12,12,1,3,19,15,6,W
9,14,7,12,12,1,3,19,15,5,E
10,14,7,12,12,1,3,19,15,3,E
10,13,14,11,12,1,3,19,15,2,S
10,12,11,11,12,1,3,19,15,2,S
11,12,3,12,6,1,3,19,15,7,E
10,12,11,12,6,1,3,19,15,8,W
10,13,14,12,6,1,3,19,15,9,N
10,14,7,11,6,1,3,19,15,9,N
11,14,3,10,6,1,3,19,15,9,E
12,14,3,11,6,1,3,19,15,9,E
13,14,3,10,6,1,3,19,15,11,E
14,14,3,10,6,1,3,19,15,12,E
15,14,7,11,6,1,3,19,15,12,E
15,13,13,10,6,1,3,19,15,12,S
15,12,13,11,6,1,3,19,15,10,S
15,11,13,12,6,1,3,19,15,8,S
15,10,15,13,6,1,3,19,15,6,S
15,9,15,13,6,1,3,19,15,5,S
15,8,15,12,6,1,3,19,15,5,S
15,7,15,11,6,1,3,19,15,5,S
15,6,15,11,5,1,3,19,15,5,S
15,5,15,10,5,1,3,19,15,5,S
14,5,15,10,5,1,3,19,15,4,W
13,5,15,10,4,1,3,19,15,4,W
13,4,15,11,4,1,3,19,15,2,S
12,4,15,11,3,1,3,19,15,2,W
12,3,11,8,5,1,3,19,15,6,S
11,3,11,8,6,1,3,19,15,6,W
10,3,11,8,5,1,3,19,15,4,W
9,3,3,7,5,1,3,19,15,4,W
8,3,11,7,4,1,3,19,15,2,W
8,4,14,7,4,1,3,19,15,1,N
1,3,9,2,8,1,3,8,11,6,N
1,4,13,3,7,1,3,8,11,4,N
1,5,13,2,7,1,3,8,11,3,N
1,6,13,2,7,1,3,8,11,2,N
1,7,13,1,8,1,3,8,11,1,N
1,8,13,2,9,1,3,8,11,2,N
1,9,13,3,9,1,3,8,11,2,N
2,9,15,3,9,1,3,8,11,1,E
3,9,15,1,7,1,3,8,11,4,E
3,8,15,1,7,1,3,8,11,3,S
3,7,15,1,6,1,3,8,11,3,S
3,6,15,1,5,1,3,8,11,3,S
3,5,15,2,5,1,3,8,11,1,S
1,18,5,5,9,1,3,29,19,13,S
1,17,12,4,9,1,3,29,19,11,S
1,16,13,4,10,1,3,29,19,9,S
1,15,13,4,10,1,3,29,19,8,S
1,14,13,5,10,1,3,29,19,8,S
1,13,12,6,10,1,3,29,19,8,S
1,12,13,6,9,1,3,29,19,8,S
1,11,12,6,10,1,3,29,19,6,S
1,10,12,6,10,1,3,29,19,5,S
1,9,12,6,9,1,3,29,19,5,S
1,8,12,6,8,1,3,29,19,5,S
1,7,12,5,8,1,3,29,19,5,S
1,6,13,6,8,1,3,29,19,7,S
2,6,7,6,7,1,3,29,19,5,E
3,6,15,5,7,1,3,29,19,3,E
3,7,13,5,7,1,3,29,19,2,N
4,7,15,5,7,1,3,29,19,1,E
5,7,15,11,4,1,3,29,19,9,E
6,7,14,10,4,1,3,29,19,7,E
6,6,11,9,4,1,3,29,19,5,S
7,6,3,8,4,1,3,29,19,3,E
8,6,15,8,3,1,3,29,19,3,E
8,5,13,8,3,1,3,29,19,2,S
8,4,13,8,3,1,3,29,19,1,S
8,3,11,17,6,1,3,29,19,12,S
8,4,13,17,6,1,3,29,19,11,N
8,5,13,17,6,1,3,29,19,10,N
8,6,15,17,6,1,3,29,19,9,N
8,7,13,17,6,1,3,29,19,10,N
8,8,13,16,6,1,3,29,19,10,N
8,9,13,15,6,1,3,29,19,10,N
8,10,13,16,6,1,3,29,19,12,N
8,11,13,17,6,1,3,29,19,14,N
8,12,15,17,6,1,3,29,19,15,N
9,12,15,16,6,1,3,29,19,13,E
10,12,15,16,6,1,3,29,19,12,E
11,12,7,16,6,1,3,29,19,11,E
12,12,3,16,6,1,3,29,19,10,E
13,12,7,17,6,1,3,29,19,10,E
14,12,15,16,6,1,3,29,19,8,E
14,11,15,16,6,1,3,29,19,7,S
14,10,15,15,6,1,3,29,19,5,S
14,9,14,14,6,1,3,29,19,3,S
14,8,15,14,5,1,3,29,19,3,S
14,7,14,13,5,1,3,29,19,3,S
14,6,15,13,6,1,3,29,19,1,S
13,6,13,25,9,1,3,29,19,15,W
13,7,13,25,9,1,3,29,19,13,N
13,8,13,24,9,1,3,29,19,11,N
14,8,15,24,8,1,3,29,19,11,E
15,8,3,24,9,1,3,29,19,9,E
16,8,3,23,9,1,3,29,19,8,E
17,8,3,23,9,1,3,29,19,8,E
18,8,3,23,10,1,3,29,19,8,E
19,8,3,23,11,1,3,29,19,8,E
20,8,3,24,11,1,3,29,19,6,E
21,8,3,23,11,1,3,29,19,4,E
22,8,3,23,10,1,3,29,19,2,E
23,8,15,23,9,1,3,29,19,1,E
1,18,5,5,9,1,3,29,19,13,S
1,17,12,5,8,1,3,29,19,13,S
1,16,13,4,8,1,3,29,19,11,S
1,15,13,1,5,1,3,29,19,10,S
1,14,13,1,5,1,3,29,19,9,S
1,13,12,1,6,1,3,29,19,7,S
1,12,13,1,7,1,3,29,19,5,S
1,11,12,1,8,1,3,29,19,3,S
1,10,12,1,8,1,3,29,19,2,S
1,9,12,1,8,1,3,29,19,1,S
1,8,12,4,6,1,3,29,19,5,S
1,7,12,4,7,1,3,29,19,3,S
1,6,13,1,3,1,3,29,19,3,S
1,5,13,1,4,1,3,29,19,1,S
1,4,13,4,7,1,3,29,19,6,S
1,5,13,4,7,1,3,29,19,5,N
1,6,13,3,7,1,3,29,19,3,N
2,6,7,4,7,1,3,29,19,3,E
3,6,15,5,7,1,3,29,19,3,E
3,7,13,4,7,1,3,29,19,1,N
4,7,15,5,7,1,3,29,19,2,E
5,7,15,6,7,1,3,29,19,1,E
14,12,2,16,12,1,3,19,13,2,W
13,12,3,16,12,1,3,19,13,3,W
12,12,3,15,10,1,3,19,13,5,W
11,12,3,17,12,1,3,19,13,6,W
10,12,3,17,12,1,3,19,13,7,W
9,12,3,17,12,1,3,19,13,8,W
8,12,3,16,12,1,3,19,13,8,W
7,12,3,16,11,1,3,19,13,10,W
6,12,3,16,10,1,3,19,13,12,W
5,12,3,18,12,1,3,19,13,13,W
4,12,3,18,12,1,3,19,13,14,W
3,12,3,17,11,1,3,19,13,15,W
2,12,7,16,11,1,3,19,13,15,W
2,11,14,16,10,1,3,19,13,15,S
2,10,14,16,10,1,3,19,13,14,S
2,9,14,16,10,1,3,19,13,15,S
2,8,14,16,9,1,3,19,13,15,S
2,7,14,15,9,1,3,19,13,15,S
2,6,14,18,6,1,3,19,13,16,S
2,5,14,15,8,1,3,19,13,16,S
2,4,14,15,9,1,3,19,13,18,S
2,3,14,15,10,1,3,19,13,20,S
2,2,14,14,10,1,3,19,13,20,S
2,1,11,14,10,1,3,19,13,21,S
3,1,3,13,10,1,3,19,13,19,E
4,1,11,13,9,1,3,19,13,17,E
4,2,13,14,9,1,3,19,13,17,N
4,3,13,14,10,1,3,19,13,17,N
4,4,13,14,9,1,3,19,13,15,N
4,5,13,14,10,1,3,19,13,15,N
4,6,13,15,10,1,3,19,13,15,N
4,7,13,14,10,1,3,19,13,13,N
4,8,13,13,10,1,3,19,13,11,N
4,9,13,12,10,1,3,19,13,9,N
4,10,5,13,10,1,3,19,13,9,N
5,10,7,14,10,1,3,19,13,9,E
6,10,7,14,9,1,3,19,13,9,E
7,10,7,15,9,1,3,19,13,9,E
8,10,7,14,9,1,3,19,13,7,E
9,10,7,14,8,1,3,19,13,7,E
10,10,7,15,8,1,3,19,13,7,E
11,10,7,17,9,1,3,19,13,7,E
12,10,7,16,9,1,3,19,13,5,E
13,10,7,16,8,1,3,19,13,4,E
14,10,7,16,9,1,3,19,13,3,E
15,10,7,16,10,1,3,19,13,1,E
16,10,15,16,9,1,3,19,13,1,E
16,9,15,15,9,1,3,19,13,2,S
15,9,15,18,6,1,3,19,13,6,W
16,9,15,17,6,1,3,19,13,4,E
17,9,15,16,6,1,3,19,13,4,E
17,8,15,17,6,1,3,19,13,2,S
17,7,15,16,6,1,3,19,13,2,S
9,1,3,9,7,1,3,19,12,6,E
8,1,3,9,7,1,3,19,12,7,W
7,1,3,9,7,1,3,19,12,8,W
6,1,9,9,7,1,3,19,12,9,W
6,2,12,9,8,1,3,19,12,9,N
6,3,15,9,8,1,3,19,12,8,N
6,4,14,10,8,1,3,19,12,8,N
6,5,14,11,7,1,3,19,12,7,N
6,6,14,10,7,1,3,19,12,5,N
6,7,15,10,7,1,3,19,12,4,N
7,7,3,9,7,1,3,19,12,2,E
8,7,3,9,7,1,3,19,12,1,E
9,7,11,9,8,1,3,19,12,1,E
9,8,13,10,10,1,3,19,12,3,N
9,9,13,10,10,1,3,19,12,1,N
9,10,13,10,9,1,3,19,12,1,N
12,10,3,13,12,1,3,19,15,3,E
13,10,7,13,12,1,3,19,15,2,E
14,10,7,13,12,1,3,19,15,4,E
15,10,15,16,6,1,3,19,15,5,E
16,10,15,17,6,1,3,19,15,5,E
17,10,15,17,6,1,3,19,15,4,E
17,9,15,17,6,1,3,19,15,3,S
17,8,15,16,6,1,3,19,15,3,S
17,7,15,16,5,1,3,19,15,3,S
17,6,15,16,4,1,3,19,15,3,S
17,5,15,16,4,1,3,19,15,2,S
17,4,15,16,3,1,3,19,15,2,S
17,3,11,1,6,1,3,19,15,19,S
16,3,11,2,6,1,3,19,15,17,W
15,3,11,2,6,1,3,19,15,16,W
14,3,11,3,6,1,3,19,15,14,W
13,3,11,3,5,1,3,19,15,12,W
12,3,11,3,5,1,3,19,15,11,W
11,3,11,4,5,1,3,19,15,9,W
10,3,11,3,5,1,3,19,15,9,W
9,3,3,3,6,1,3,19,15,9,W
8,3,11,2,6,1,3,19,15,9,W
8,4,14,3,6,1,3,19,15,7,N
8,5,14,4,6,1,3,19,15,5,N
8,6,6,3,6,1,3,19,15,5,N
7,6,7,3,5,1,3,19,15,5,W
7,5,15,3,4,1,3,19,15,5,S
7,4,15,2,4,1,3,19,15,5,S
6,4,15,2,4,1,3,19,15,4,W
5,4,15,2,5,1,3,19,15,4,W
5,5,15,3,5,1,3,19,15,2,N
4,5,15,2,5,1,3,19,15,2,W
3,5,15,8,14,1,3,19,15,14,W
3,6,15,7,14,1,3,19,15,12,N
3,7,15,7,14,1,3,19,15,11,N
3,8,15,6,14,1,3,19,15,9,N
3,9,15,6,14,1,3,19,15,8,N
3,10,15,5,14,1,3,19,15,6,N
3,11,14,4,14,1,3,19,15,4,N
3,12,14,3,14,1,3,19,15,2,N
3,13,14,3,14,1,3,19,15,1,N
3,14,7,9,13,1,3,19,15,6,N
4,14,3,9,14,1,3,19,15,5,E
5,14,3,9,14,1,3,19,15,5,E
6,14,3,9,13,1,3,19,15,3,E
7,14,3,9,14,1,3,19,15,1,E
1,3,9,2,8,1,3,8,11,6,N
1,4,13,1,9,1,3,8,11,5,N
1,5,13,3,7,1,3,8,11,4,N
1,6,13,1,8,1,3,8,11,2,N
1,7,13,2,8,1,3,8,11,2,N
1,8,13,3,8,1,3,8,11,1,N
2,8,15,2,9,1,3,8,11,1,E
1,18,5,5,9,1,3,29,19,13,S
1,17,12,6,9,1,3,29,19,13,S
1,16,13,6,10,1,3,29,19,11,S
1,15,13,5,10,1,3,29,19,9,S
1,14,13,5,9,1,3,29,19,9,S
1,13,12,5,8,1,3,29,19,9,S
1,12,13,4,8,1,3,29,19,7,S
1,11,12,3,8,1,3,29,19,5,S
1,10,12,3,8,1,3,29,19,4,S
1,9,12,3,8,1,3,29,19,3,S
1,8,12,4,8,1,3,29,19,3,S
1,7,12,4,9,1,3,29,19,5,S
1,6,13,4,10,1,3,29,19,7,S
2,6,7,4,10,1,3,29,19,6,E
3,6,15,4,10,1,3,29,19,5,E
3,7,13,4,9,1,3,29,19,3,N
3,8,13,3,9,1,3,29,19,1,N
3,9,13,10,6,1,3,29,19,10,N
4,9,15,10,5,1,3,29,19,10,E
5,9,15,10,6,1,3,29,19,8,E
6,9,14,9,6,1,3,29,19,6,E
6,8,14,9,7,1,3,29,19,4,S
6,7,14,8,7,1,3,29,19,2,S
6,6,11,8,8,1,3,29,19,4,S
7,6,3,8,8,1,3,29,19,3,E
8,6,15,8,8,1,3,29,19,2,E
8,7,13,19,3,1,3,29,19,15,N
8,8,13,18,3,1,3,29,19,15,N
8,9,13,18,4,1,3,29,19,15,N
8,10,13,18,4,1,3,29,19,16,N
8,11,13,17,4,1,3,29,19,16,N
8,12,15,17,5,1,3,29,19,16,N
9,12,15,17,5,1,3,29,19,15,E
10,12,15,17,6,1,3,29,19,13,E
11,12,7,17,5,1,3,29,19,13,E
12,12,3,17,5,1,3,29,19,12,E
13,12,7,18,5,1,3,29,19,12,E
14,12,15,18,4,1,3,29,19,12,E
14,11,15,19,4,1,3,29,19,12,S
14,10,15,20,4,1,3,29,19,12,S
14,9,14,20,3,1,3,29,19,12,S
14,8,15,21,3,1,3,29,19,12,S
14,7,14,21,3,1,3,29,19,11,S
14,6,15,22,3,1,3,29,19,11,S
15,6,3,22,4,1,3,29,19,9,E
16,6,3,23,4,1,3,29,19,9,E
17,6,7,23,4,1,3,29,19,8,E
18,6,7,23,4,1,3,29,19,7,E
19,6,7,24,4,1,3,29,19,7,E
20,6,7,23,4,1,3,29,19,5,E
21,6,3,23,4,1,3,29,19,4,E
22,6,3,23,5,1,3,29,19,2,E
23,6,15,26,10,1,3,29,19,8,E
23,7,13,26,11,1,3,29,19,6,N
23,8,15,25,11,1,3,29,19,5,N
23,9,13,25,11,1,3,29,19,4,N
23,10,15,25,11,1,3,29,19,4,N
23,11,7,26,11,1,3,29,19,4,N
24,11,7,27,11,1,3,29,19,3,E
25,11,7,27,11,1,3,29,19,2,E
26,11,15,27,11,1,3,29,19,1,E
1,18,5,5,9,1,3,29,19,13,S
1,17,12,4,9,1,3,29,19,11,S
1,16,13,4,8,1,3,29,19,11,S
1,15,13,4,9,1,3,29,19,9,S
1,14,13,3,9,1,3,29,19,7,S
1,13,12,3,8,1,3,29,19,7,S
1,12,13,3,8,1,3,29,19,6,S
1,11,12,3,9,1,3,29,19,4,S
1,10,12,4,9,1,3,29,19,4,S
1,9,12,4,8,1,3,29,19,4,S
1,8,12,4,9,1,3,29,19,4,S
1,7,12,4,6,1,3,29,19,4,S
1,6,13,4,5,1,3,29,19,4,S
2,6,7,5,5,1,3,29,19,4,E
3,6,15,5,5,1,3,29,19,3,E
4,6,15,4,4,1,3,29,19,2,E
4,5,15,5,4,1,3,29,19,2,S
5,5,14,4,4,1,3,29,19,2,E
5,4,14,4,4,1,3,29,19,1,S
4,4,15,5,8,1,3,29,19,5,W
4,5,15,5,7,1,3,29,19,3,N
4,6,15,6,7,1,3,29,19,3,N
4,7,15,6,7,1,3,29,19,2,N
5,7,15,6,7,1,3,29,19,1,E
6,7,14,7,3,1,3,29,19,6,E
6,6,11,8,3,1,3,29,19,4,S
7,6,3,7,3,1,3,29,19,4,E
8,6,15,6,3,1,3,29,19,5,E
8,5,13,6,3,1,3,29,19,4,S
8,4,13,6,3,1,3,29,19,4,S
8,3,11,5,3,1,3,29,19,3,S
7,3,3,5,3,1,3,29,19,3,W
6,3,3,5,4,1,3,29,19,2,W
5,3,11,5,4,1,3,29,19,1,W
14,12,2,16,12,1,3,19,13,2,W
13,12,3,16,12,1,3,19,13,3,W
12,12,3,16,12,1,3,19,13,4,W
11,12,3,16,12,1,3,19,13,5,W
10,12,3,17,12,1,3,19,13,7,W
9,12,3,16,12,1,3,19,13,7,W
8,12,3,16,11,1,3,19,13,9,W
7,12,3,16,11,1,3,19,13,10,W
6,12,3,16,12,1,3,19,13,10,W
5,12,3,17,12,1,3,19,13,12,W
4,12,3,18,12,1,3,19,13,14,W
3,12,3,16,9,1,3,19,13,16,W
2,12,7,15,9,1,3,19,13,16,W
2,11,14,15,10,1,3,19,13,14,S
2,10,14,15,9,1,3,19,13,14,S
2,9,14,15,8,1,3,19,13,14,S
2,8,14,15,8,1,3,19,13,13,S
