@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E,X}

@DATA
6,13,31,3,13,3,N
5,13,31,3,12,3,W
5,12,31,3,12,2,S
4,12,31,2,12,2,W
3,12,31,2,13,2,W
3,13,31,2,12,2,N
3,12,31,1,12,2,S
2,12,31,1,13,2,W
12,10,31,13,12,3,X
12,11,31,13,12,1,N
12,12,31,13,11,1,N
13,12,31,12,11,1,E
13,11,31,12,12,1,S
13,12,31,12,6,7,N
13,11,31,11,6,7,S
13,10,31,11,6,6,S
13,9,31,11,5,6,S
13,8,31,10,5,6,S
13,7,31,10,5,5,S
13,6,31,9,5,5,S
13,5,31,9,5,4,S
12,5,31,10,5,2,W
11,5,31,9,4,3,W
11,4,31,8,4,3,S
10,4,31,8,3,3,W
10,3,23,8,3,2,S
9,3,23,8,3,1,W
8,3,23,5,13,13,W
8,4,31,5,13,12,N
8,5,31,4,13,12,N
8,6,31,4,14,12,N
8,7,31,5,14,10,N
8,8,31,6,14,8,N
8,9,31,5,14,8,N
8,10,31,4,14,8,N
8,11,31,5,14,6,N
8,12,31,5,13,4,N
8,13,31,4,13,4,N
7,13,31,4,13,3,W
6,13,31,4,14,3,W
6,14,15,3,14,3,N
5,14,15,3,14,2,W
4,14,15,3,13,2,W
12,10,31,13,12,3,X
12,11,31,13,12,2,N
12,12,31,13,12,2,N
13,12,31,13,11,2,E
13,11,31,13,10,2,S
13,10,31,12,6,5,S
13,9,31,12,6,4,S
13,8,31,12,6,3,S
13,7,31,12,7,1,S
12,7,31,5,9,9,W
12,8,31,5,8,7,N
11,8,31,6,8,5,W
10,8,31,6,7,5,W
10,7,31,6,8,5,S
10,8,31,6,7,5,N
10,7,31,7,7,3,S
9,7,31,7,7,2,W
8,7,31,7,7,1,W
7,7,31,12,13,11,W
7,8,31,12,12,9,N
7,9,31,12,13,9,N
7,10,31,13,13,9,N
7,11,31,13,14,9,N
7,12,31,14,14,9,N
7,13,31,14,13,7,N
8,13,31,15,13,7,E
9,13,31,16,13,7,E
10,13,31,15,13,5,E
11,13,31,15,12,5,E
12,13,31,15,13,3,E
13,13,31,16,13,3,E
14,13,31,16,14,3,E
14,14,15,17,14,3,N
15,14,15,16,14,1,E
12,10,31,13,12,3,X
12,11,31,13,12,3,N
12,12,31,13,13,1,N
12,13,31,13,12,2,N
13,13,31,13,12,2,E
13,12,31,14,12,2,S
14,12,31,14,13,2,E
14,13,31,14,14,2,N
14,14,15,15,14,1,N
15,14,15,11,9,9,E
15,13,31,12,9,7,S
15,12,31,13,9,5,S
15,11,31,13,8,5,S
15,10,31,13,9,3,S
15,9,31,13,9,2,S
14,9,31,13,9,1,W
13,9,31,7,10,7,W
13,10,31,7,9,7,N
13,9,31,7,10,7,S
13,10,31,6,10,7,N
12,10,31,6,10,6,W
11,10,31,7,10,4,W
10,10,31,8,10,2,W
9,10,31,8,12,3,W
9,11,31,8,12,2,N
9,12,31,8,13,2,N
9,13,31,7,13,2,N
8,13,31,7,14,2,W
8,14,15,7,14,1,N
12,10,31,13,12,3,X
12,11,31,13,12,2,N
12,12,31,13,12,1,N
13,12,31,12,4,9,E
13,11,31,12,4,8,S
13,10,31,13,4,6,S
13,9,31,14,4,6,S
14,9,31,14,4,5,E
14,8,31,13,4,5,S
14,7,31,14,4,3,S
14,6,31,14,3,3,S
14,5,31,15,3,3,S
15,5,31,16,3,3,E
16,5,31,16,4,1,E
16,4,31,6,3,11,S
16,3,23,6,3,10,S
15,3,23,5,3,10,W
14,3,23,5,3,9,W
13,3,23,5,3,8,W
12,3,23,5,3,7,W
11,3,23,6,3,5,W
10,3,23,5,3,5,W
9,3,23,4,3,5,W
8,3,23,4,4,5,W
8,4,31,3,4,5,N
7,4,31,3,4,4,W
6,4,31,2,4,4,W
5,4,31,2,5,4,W
5,5,31,3,5,2,N
4,5,31,3,5,1,W
3,5,31,5,11,8,W
3,6,31,4,11,6,N
3,7,31,4,11,5,N
3,8,31,4,12,5,N
3,9,15,4,13,5,N
4,9,15,4,13,4,E
5,9,15,4,14,6,E
6,9,31,5,14,6,E
6,10,27,4,14,6,N
6,11,31,5,14,4,N
6,12,31,4,14,4,N
6,13,31,4,14,3,N
6,14,15,4,14,2,N
12,10,31,13,12,3,X
12,11,31,13,12,3,N
12,12,31,14,12,2,N
13,12,31,14,12,2,E
14,12,31,14,11,2,E
14,11,31,14,10,2,S
14,10,31,14,9,2,S
