@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE minWidth NUMERIC
@ATTRIBUTE minHeight NUMERIC
@ATTRIBUTE maxWidth NUMERIC
@ATTRIBUTE maxHeight NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E}
@ATTRIBUTE futureScore NUMERIC

@DATA
3,5,15,1,4,3,1,3,19,15,S,363
3,4,15,2,4,1,1,3,19,15,S,562
2,4,15,17,6,17,1,3,19,15,W,561
3,4,15,18,6,17,1,3,19,15,E,560
4,4,15,18,6,16,1,3,19,15,E,559
5,4,15,18,7,16,1,3,19,15,E,558
6,4,15,17,7,14,1,3,19,15,E,557
7,4,15,16,7,12,1,3,19,15,E,556
8,4,14,16,7,11,1,3,19,15,E,555
8,3,11,16,6,11,1,3,19,15,S,554
9,3,3,16,6,10,1,3,19,15,E,553
10,3,11,16,7,10,1,3,19,15,E,552
10,4,13,17,7,10,1,3,19,15,N,551
10,5,13,17,7,9,1,3,19,15,N,550
10,6,5,18,7,9,1,3,19,15,N,549
11,6,7,17,7,7,1,3,19,15,E,548
12,6,7,17,6,5,1,3,19,15,E,547
13,6,7,17,7,5,1,3,19,15,E,546
14,6,15,17,6,3,1,3,19,15,E,545
15,6,15,16,6,1,1,3,19,15,N,545
1,3,9,2,8,6,1,3,8,11,N,-1
1,4,13,1,9,5,1,3,8,11,N,-2
1,5,13,1,8,3,1,3,8,11,N,-3
1,6,13,1,9,3,1,3,8,11,N,96
1,7,13,1,9,2,1,3,8,11,N,95
1,8,13,2,9,1,1,3,8,11,N,194
1,9,13,2,8,2,1,3,8,11,N,193
2,9,15,2,7,2,1,3,8,11,E,192
2,8,15,2,7,1,1,3,8,11,S,391
2,7,15,3,8,2,1,3,8,11,S,390
2,8,15,3,8,2,1,3,8,11,N,389
3,8,15,3,9,2,1,3,8,11,E,688
3,9,15,2,10,2,1,3,8,11,N,687
3,10,7,2,9,2,1,3,8,11,N,886
3,9,15,6,7,5,1,3,8,11,S,885
4,9,15,7,7,5,1,3,8,11,E,884
5,9,15,7,6,5,1,3,8,11,E,883
6,9,15,7,7,3,1,3,8,11,E,882
7,9,14,7,7,2,1,3,8,11,N,882
1,18,5,5,9,13,1,3,29,19,S,-1
1,17,12,5,10,11,1,3,29,19,S,-2
1,16,13,6,10,11,1,3,29,19,S,-3
1,15,13,6,9,11,1,3,29,19,S,-4
1,14,13,6,9,10,1,3,29,19,S,-5
1,13,12,5,9,8,1,3,29,19,S,-6
1,12,13,5,9,7,1,3,29,19,S,-7
1,11,12,4,9,5,1,3,29,19,S,-8
1,10,12,3,9,3,1,3,29,19,S,-9
1,9,12,3,8,3,1,3,29,19,S,-10
1,8,12,3,7,3,1,3,29,19,S,-11
1,7,12,3,8,3,1,3,29,19,S,-12
1,6,13,3,8,4,1,3,29,19,S,-13
2,6,7,3,8,3,1,3,29,19,E,-14
3,6,15,4,8,3,1,3,29,19,E,-15
3,7,13,4,8,2,1,3,29,19,N,184
3,8,13,9,3,11,1,3,29,19,N,183
4,8,15,9,3,10,1,3,29,19,E,182
5,8,15,10,3,10,1,3,29,19,E,181
6,8,14,9,3,8,1,3,29,19,E,180
6,7,14,9,4,6,1,3,29,19,S,179
6,6,11,8,4,4,1,3,29,19,S,178
7,6,3,9,4,4,1,3,29,19,E,177
8,6,15,9,3,4,1,3,29,19,E,176
9,6,15,9,4,2,1,3,29,19,E,175
9,5,15,10,4,2,1,3,29,19,S,174
10,5,15,9,4,2,1,3,29,19,E,173
10,4,15,9,3,2,1,3,29,19,S,372
10,3,11,16,12,15,1,3,29,19,S,371
10,4,15,17,12,15,1,3,29,19,N,370
10,5,15,17,11,13,1,3,29,19,N,369
10,6,15,17,12,13,1,3,29,19,N,368
10,7,15,17,12,12,1,3,29,19,N,367
10,8,15,16,12,10,1,3,29,19,N,366
10,9,15,16,12,9,1,3,29,19,N,365
10,10,15,16,11,7,1,3,29,19,N,364
10,11,15,17,11,7,1,3,29,19,N,363
10,12,15,17,11,8,1,3,29,19,N,362
11,12,7,17,10,8,1,3,29,19,E,361
12,12,3,17,10,7,1,3,29,19,E,360
13,12,7,17,11,5,1,3,29,19,E,359
14,12,15,17,11,4,1,3,29,19,E,358
15,12,7,17,11,3,1,3,29,19,E,357
16,12,7,17,10,3,1,3,29,19,E,356
17,12,15,17,11,1,1,3,29,19,E,555
17,11,15,25,7,12,1,3,29,19,S,554
18,11,15,25,7,10,1,3,29,19,E,553
19,11,15,25,8,10,1,3,29,19,E,552
20,11,14,26,8,8,1,3,29,19,E,551
20,10,11,25,8,6,1,3,29,19,S,550
21,10,3,25,9,5,1,3,29,19,E,549
22,10,11,25,9,3,1,3,29,19,E,548
23,10,15,25,10,3,1,3,29,19,E,547
24,10,15,25,11,1,1,3,29,19,N,547
1,18,5,5,9,13,1,3,29,19,S,-1
1,17,12,1,4,13,1,3,29,19,S,-2
1,16,13,2,5,12,1,3,29,19,S,-3
1,15,13,1,4,11,1,3,29,19,S,-4
1,14,13,1,4,10,1,3,29,19,S,-5
1,13,12,1,5,8,1,3,29,19,S,-6
1,12,13,1,5,7,1,3,29,19,S,-7
1,11,12,1,4,7,1,3,29,19,S,-8
1,10,12,4,7,5,1,3,29,19,S,-9
1,9,12,5,9,4,1,3,29,19,S,-10
1,8,12,3,7,2,1,3,29,19,S,-11
1,7,12,3,8,2,1,3,29,19,S,-12
1,6,13,4,6,3,1,3,29,19,S,-13
2,6,7,3,7,2,1,3,29,19,E,-14
3,6,15,4,7,2,1,3,29,19,E,185
3,7,13,4,8,2,1,3,29,19,N,384
3,8,13,5,8,2,1,3,29,19,N,583
4,8,15,3,4,5,1,3,29,19,E,582
4,7,15,4,4,3,1,3,29,19,S,581
4,6,15,5,4,3,1,3,29,19,S,580
5,6,15,4,4,3,1,3,29,19,E,579
5,5,14,3,4,3,1,3,29,19,S,578
5,4,14,4,4,1,1,3,29,19,N,578
9,1,3,9,7,6,1,3,19,12,E,99
8,1,3,8,7,6,1,3,19,12,W,198
7,1,3,7,7,6,1,3,19,12,W,297
6,1,9,6,7,6,1,3,19,12,W,396
6,2,12,6,7,5,1,3,19,12,N,495
6,3,15,6,7,4,1,3,19,12,N,594
6,4,14,6,7,3,1,3,19,12,N,693
6,5,14,6,6,1,1,3,19,12,N,992
6,6,14,7,7,2,1,3,19,12,N,1091
6,7,15,7,7,1,1,3,19,12,N,1290
7,7,3,10,7,4,1,3,19,12,E,1289
