@RELATION pacmanGameStates

@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE minWidth NUMERIC
@ATTRIBUTE minHeight NUMERIC
@ATTRIBUTE maxWidth NUMERIC
@ATTRIBUTE maxHeight NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E}
@ATTRIBUTE futureScore NUMERIC

@DATA
6,7,15,9,10,6,1,3,19,12,E,2157
6,8,12,9,11,6,1,3,19,12,N,2156
6,9,15,9,11,5,1,3,19,12,N,2155
6,10,12,10,10,4,1,3,19,12,N,2154
6,11,5,10,11,5,1,3,19,12,N,2153
6,11,5,10,10,5,1,3,19,12,N,2252
7,11,3,10,11,3,1,3,19,12,E,2351
8,11,3,9,11,1,1,3,19,12,E,2650
9,11,7,10,11,2,1,3,19,12,E,2749
10,11,7,10,10,2,1,3,19,12,E,2848
10,10,14,9,10,2,1,3,19,12,S,2947
10,9,14,9,11,3,1,3,19,12,S,2946
10,8,14,13,8,3,1,3,19,12,S,2945
10,7,11,13,9,5,1,3,19,12,S,2944
10,7,11,13,10,6,1,3,19,12,S,2943
10,8,14,13,10,5,1,3,19,12,N,2942
10,9,14,13,11,5,1,3,19,12,N,2941
10,10,14,13,11,4,1,3,19,12,N,3040
9,10,13,13,10,4,1,3,19,12,W,3039
9,10,13,6,11,3,1,3,19,12,W,3038
9,10,13,7,11,2,1,3,19,12,W,3037
9,10,13,8,11,2,1,3,19,12,W,3036
9,10,13,8,11,1,1,3,19,12,W,3235
9,11,7,12,9,5,1,3,19,12,N,3234
9,11,7,13,9,6,1,3,19,12,N,3233
8,11,3,13,8,8,1,3,19,12,W,3232
7,11,3,13,8,9,1,3,19,12,W,3231
8,11,3,13,9,7,1,3,19,12,E,3230
9,11,7,13,8,7,1,3,19,12,E,3229
10,11,7,13,7,7,1,3,19,12,E,3328
11,11,3,13,6,7,1,3,19,12,E,3427
12,11,3,13,6,6,1,3,19,12,E,3526
13,11,6,13,5,6,1,3,19,12,E,3625
13,10,12,13,4,6,1,3,19,12,S,3724
13,9,15,13,3,6,1,3,19,12,S,3823
13,8,12,13,4,4,1,3,19,12,S,3922
13,7,12,13,3,4,1,3,19,12,S,4021
13,6,12,12,3,4,1,3,19,12,S,4120
13,5,12,12,3,3,1,3,19,12,S,4219
13,4,12,11,3,3,1,3,19,12,S,4318
13,3,14,12,3,1,1,3,19,12,N,4318
12,10,3,13,12,3,1,3,19,15,E,-1
12,10,3,13,12,3,1,3,19,15,E,-2
12,10,3,13,12,2,1,3,19,15,E,-3
12,10,3,12,12,3,1,3,19,15,E,-4
12,10,3,11,12,4,1,3,19,15,E,-5
11,10,3,10,12,3,1,3,19,15,W,-6
10,10,3,10,12,3,1,3,19,15,W,-7
11,10,3,11,12,2,1,3,19,15,E,-8
12,10,3,11,12,4,1,3,19,15,E,-9
13,10,7,10,12,5,1,3,19,15,E,-10
14,10,7,10,12,7,1,3,19,15,E,-11
15,10,15,8,12,9,1,3,19,15,E,-12
16,10,15,9,12,9,1,3,19,15,E,-13
16,11,15,10,12,7,1,3,19,15,N,-14
16,12,15,11,12,5,1,3,19,15,N,-15
16,13,15,12,12,5,1,3,19,15,N,-16
15,13,13,13,12,3,1,3,19,15,W,-17
15,13,13,13,12,3,1,3,19,15,W,-18
15,13,13,12,12,4,1,3,19,15,W,-19
15,13,13,12,12,4,1,3,19,15,W,-20
15,13,13,13,12,3,1,3,19,15,W,-21
15,14,7,12,12,5,1,3,19,15,N,-22
15,14,7,13,12,4,1,3,19,15,N,-23
14,14,3,12,12,4,1,3,19,15,W,-24
13,14,3,12,12,3,1,3,19,15,W,-25
12,14,3,11,12,3,1,3,19,15,W,-26
11,14,3,10,12,3,1,3,19,15,W,-27
10,14,7,10,13,1,1,3,19,15,W,172
9,14,7,10,13,2,1,3,19,15,W,171
8,14,7,9,13,2,1,3,19,15,W,170
7,14,3,10,13,4,1,3,19,15,W,169
6,14,3,10,14,4,1,3,19,15,W,168
7,14,3,10,14,3,1,3,19,15,E,167
8,14,7,10,14,2,1,3,19,15,E,166
8,13,13,11,14,4,1,3,19,15,S,165
8,12,11,10,14,4,1,3,19,15,S,164
9,12,11,10,14,3,1,3,19,15,E,163
9,13,15,9,14,1,1,3,19,15,N,362
9,14,7,14,9,10,1,3,19,15,N,361
9,14,7,13,9,9,1,3,19,15,N,360
10,14,7,14,9,9,1,3,19,15,E,359
11,14,3,14,9,8,1,3,19,15,E,358
12,14,3,14,8,8,1,3,19,15,E,357
13,14,3,14,8,7,1,3,19,15,E,356
14,14,3,14,7,7,1,3,19,15,E,355
15,14,7,14,7,8,1,3,19,15,E,354
15,13,13,14,7,7,1,3,19,15,S,353
15,12,13,14,8,5,1,3,19,15,S,352
15,11,13,14,7,5,1,3,19,15,S,351
15,10,15,14,8,3,1,3,19,15,S,350
15,9,15,14,7,3,1,3,19,15,S,349
15,8,15,14,6,3,1,3,19,15,S,348
14,8,15,15,6,3,1,3,19,15,W,347
13,8,11,15,7,3,1,3,19,15,W,346
13,9,13,15,6,5,1,3,19,15,N,345
13,8,11,16,6,5,1,3,19,15,S,344
14,8,15,16,5,5,1,3,19,15,E,343
15,8,15,16,4,5,1,3,19,15,E,342
15,7,15,16,5,3,1,3,19,15,S,341
15,6,15,15,5,1,1,3,19,15,S,540
15,5,15,10,3,7,1,3,19,15,S,539
15,4,15,10,3,6,1,3,19,15,S,538
16,4,15,11,3,6,1,3,19,15,E,537
17,4,15,11,3,7,1,3,19,15,E,536
16,4,15,12,3,5,1,3,19,15,W,535
15,4,15,11,3,5,1,3,19,15,W,534
14,4,15,10,3,5,1,3,19,15,W,533
13,4,15,10,4,3,1,3,19,15,W,532
13,3,11,10,3,3,1,3,19,15,S,531
13,3,11,9,3,4,1,3,19,15,S,530
12,3,11,10,3,2,1,3,19,15,W,529
11,3,11,9,3,2,1,3,19,15,W,528
10,3,11,9,3,1,1,3,19,15,N,528
1,3,9,2,8,6,1,3,8,11,N,-1
1,3,9,2,7,5,1,3,8,11,N,-2
1,3,9,2,7,5,1,3,8,11,N,-3
1,3,9,2,7,4,1,3,8,11,N,-4
1,3,9,2,6,3,1,3,8,11,N,-5
2,3,11,2,5,3,1,3,8,11,E,94
3,3,11,3,5,2,1,3,8,11,E,93
3,4,15,3,5,2,1,3,8,11,N,192
3,5,15,4,5,2,1,3,8,11,N,191
3,6,15,4,6,2,1,3,8,11,N,190
3,7,15,3,8,1,1,3,8,11,N,389
3,8,15,2,10,3,1,3,8,11,N,488
3,9,15,3,10,1,1,3,8,11,N,887
3,10,7,5,6,5,1,3,8,11,N,886
3,10,7,4,6,4,1,3,8,11,N,885
3,10,7,3,6,5,1,3,8,11,N,884
4,10,7,3,5,7,1,3,8,11,E,883
5,10,7,2,5,9,1,3,8,11,E,882
5,9,15,1,5,7,1,3,8,11,S,881
5,8,15,1,6,7,1,3,8,11,S,880
4,8,15,1,5,5,1,3,8,11,W,879
3,8,15,1,6,3,1,3,8,11,W,878
2,8,15,1,7,1,1,3,8,11,W,877
1,8,13,2,7,3,1,3,8,11,W,976
1,7,13,3,7,3,1,3,8,11,S,975
1,6,13,4,7,3,1,3,8,11,S,974
