@RELATION pacmanGameStates

@ATTRIBUTE numActions NUMERIC
@ATTRIBUTE pacmanX NUMERIC
@ATTRIBUTE pacmanY NUMERIC
@ATTRIBUTE directionPossible NUMERIC
@ATTRIBUTE ghostX NUMERIC
@ATTRIBUTE ghostY NUMERIC
@ATTRIBUTE nearestGhostDistance NUMERIC
@ATTRIBUTE numFood NUMERIC
@ATTRIBUTE distFood NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE futureScore NUMERIC
@ATTRIBUTE directionTaken {N,S,W,E,X}

@DATA
27,6,9,29,5,10,2,0,0,-26,-27,N
28,6,10,13,5,9,2,0,0,-27,-28,N
29,5,10,15,6,9,2,0,0,-28,-29,W
30,4,10,15,6,8,4,0,0,-29,-30,W
31,4,9,31,6,8,3,0,0,-30,-31,S
32,4,8,31,5,8,1,0,0,-31,168,S
33,5,8,31,9,6,6,0,0,168,167,E
34,6,8,29,9,6,5,0,0,167,166,E
35,6,8,29,10,6,6,0,0,166,165,E
36,6,8,29,10,5,7,0,0,165,164,E
37,6,7,29,10,4,7,0,0,164,163,S
38,6,6,23,10,4,6,0,0,163,162,S
39,7,6,7,10,4,5,0,0,162,161,E
40,8,6,31,10,5,3,0,0,161,160,E
41,9,6,31,9,5,1,0,0,160,159,E
42,10,6,31,8,5,3,0,0,159,158,E
43,10,5,31,8,6,3,0,0,158,157,S
44,10,4,31,8,7,5,0,0,157,156,S
45,11,4,29,8,8,7,0,0,156,155,E
46,10,4,31,8,9,7,0,0,155,154,W
47,10,5,31,8,10,7,0,0,154,153,N
48,10,6,31,8,9,5,0,0,153,152,N
49,10,7,31,8,10,5,0,0,152,151,N
50,10,8,31,8,10,4,0,0,151,150,N
51,10,9,31,8,11,4,0,0,150,149,N
52,10,10,31,8,12,4,0,0,149,148,N
53,10,11,31,7,12,4,0,0,148,147,N
54,9,11,31,6,12,4,0,0,147,146,W
55,8,11,27,6,12,3,0,0,146,145,W
56,8,12,31,5,12,3,0,0,145,144,N
57,8,13,27,6,12,3,0,0,144,143,N
58,8,14,31,7,12,3,0,0,143,142,N
59,7,14,23,8,12,3,0,0,142,141,W
60,6,14,23,9,12,5,0,0,141,140,W
61,5,14,23,9,11,7,0,0,140,139,W
62,6,14,23,9,12,5,0,0,139,138,E
63,7,14,23,9,13,3,0,0,138,137,E
64,8,14,31,9,12,3,0,0,137,136,E
65,9,14,31,9,11,3,0,0,136,135,E
66,9,13,31,9,10,3,0,0,135,134,S
67,9,12,31,9,10,2,0,0,134,133,S
68,8,12,31,9,10,3,0,0,133,132,W
69,7,12,7,8,10,3,0,0,132,131,W
70,6,12,7,8,9,5,0,0,131,130,W
71,5,12,7,9,9,7,0,0,130,129,W
72,6,12,7,8,9,5,0,0,129,128,E
73,7,12,7,8,9,4,0,0,128,127,E
74,8,12,31,9,9,4,0,0,127,126,E
75,8,11,27,8,9,2,0,0,126,125,S
76,8,10,27,9,9,2,0,0,125,124,S
77,8,9,27,9,10,2,0,0,124,123,S
78,8,8,27,10,10,4,0,0,123,122,S
79,9,8,31,9,10,2,0,0,122,121,E
80,10,8,31,10,10,2,0,0,121,120,E
81,10,9,31,10,10,1,0,0,120,319,N
82,10,10,31,24,8,15,0,0,319,318,N
83,10,11,31,19,4,16,0,0,318,317,N
84,9,11,31,24,8,17,0,0,317,316,W
85,10,11,31,20,5,16,0,0,316,315,E
86,11,11,29,20,4,16,0,0,315,314,E
87,11,11,29,19,4,15,0,0,314,313,E
88,11,12,15,19,4,16,0,0,313,312,N
89,11,12,15,23,8,15,0,0,312,311,N
90,12,12,7,20,5,15,0,0,311,310,E
91,13,12,15,20,4,15,0,0,310,309,E
92,14,12,31,19,4,13,0,0,309,308,E
93,15,12,15,18,4,11,0,0,308,307,E
94,16,12,15,17,4,9,0,0,307,306,E
95,17,12,31,16,4,9,0,0,306,305,E
96,18,12,31,16,3,11,0,0,305,304,E
97,18,11,31,16,3,10,0,0,304,303,S
98,18,10,23,16,3,9,0,0,303,302,S
99,18,10,23,16,4,8,0,0,302,301,S
100,17,10,23,15,4,8,0,0,301,300,W
101,18,10,23,24,8,7,0,0,300,299,E
102,19,10,23,24,9,6,0,0,299,298,E
103,20,10,23,24,9,4,0,0,298,297,E
104,21,10,7,24,10,3,0,0,297,296,E
105,22,10,23,24,10,1,0,0,296,495,E
106,23,10,31,15,4,14,0,0,495,494,E
107,24,10,31,16,4,14,0,0,494,493,E
108,24,9,31,15,4,14,0,0,493,492,S
109,23,9,27,15,3,14,0,0,492,491,W
110,23,8,31,15,3,13,0,0,491,490,S
111,23,7,27,15,3,12,0,0,490,489,S
112,23,6,31,15,3,11,0,0,489,488,S
113,23,5,27,15,3,10,0,0,488,487,S
114,23,4,31,15,3,9,0,0,487,486,S
115,23,3,23,15,4,9,0,0,486,485,S
116,22,3,23,15,3,7,0,0,485,484,W
117,21,3,23,14,3,7,0,0,484,483,W
118,20,3,23,15,3,5,0,0,483,482,W
119,19,3,23,14,3,5,0,0,482,481,W
120,18,3,23,14,4,5,0,0,481,480,W
121,17,3,23,15,4,3,0,0,480,479,W
122,16,3,23,15,3,1,0,0,479,478,W
123,16,4,15,15,4,1,0,0,478,478,X
1,1,18,11,5,9,13,0,0,0,-1,X
2,1,18,11,4,9,12,0,0,-1,-2,X
3,1,18,11,4,10,11,0,0,-2,-3,X
4,1,17,25,5,10,11,0,0,-3,-4,S
5,1,16,27,1,5,11,0,0,-4,-5,S
6,1,15,27,1,5,10,0,0,-5,-6,S
7,1,14,27,5,9,9,0,0,-6,-7,S
8,1,13,25,6,9,9,0,0,-7,-8,S
9,1,12,27,5,9,7,0,0,-8,-9,S
10,1,11,25,5,8,7,0,0,-9,-10,S
11,1,10,25,1,4,6,0,0,-10,-11,S
12,1,9,25,5,8,5,0,0,-11,-12,S
13,1,8,25,1,4,4,0,0,-12,-13,S
14,1,7,25,1,5,2,0,0,-13,-14,S
15,1,6,27,1,5,1,0,0,-14,185,S
16,1,5,27,2,5,1,0,0,185,184,S
17,1,4,27,3,5,3,0,0,184,183,S
18,2,4,31,3,5,2,0,0,183,182,E
19,2,3,23,4,5,4,0,0,182,181,S
20,3,3,23,4,4,2,0,0,181,380,E
21,4,3,23,5,5,2,0,0,380,379,E
22,4,4,31,4,5,2,0,0,379,378,N
23,4,5,31,5,5,1,0,0,378,377,N
24,4,6,31,4,8,2,0,0,377,376,N
25,4,7,31,3,8,2,0,0,376,375,N
26,5,7,31,3,7,2,0,0,375,374,E
27,6,7,29,4,7,2,0,0,374,373,E
28,6,8,29,4,8,2,0,0,373,372,N
29,6,7,29,4,7,3,0,0,372,371,S
30,6,6,23,3,7,3,0,0,371,370,S
31,6,6,23,5,9,4,0,0,370,369,S
32,5,6,31,5,10,4,0,0,369,368,W
33,4,6,31,2,5,2,0,0,368,367,W
34,3,6,31,3,5,1,0,0,367,366,W
35,2,6,15,3,5,3,0,0,366,365,W
36,2,5,31,3,4,2,0,0,365,364,S
37,3,5,31,3,4,1,0,0,364,363,E
38,4,5,31,3,4,2,0,0,363,362,E
39,5,5,29,3,4,3,0,0,362,361,E
40,5,4,29,3,4,3,0,0,361,360,S
41,5,3,23,3,3,2,0,0,360,359,S
42,4,3,23,3,3,1,0,0,359,558,W
43,3,3,23,3,8,5,0,0,558,557,W
44,2,3,23,3,8,6,0,0,557,556,W
45,1,3,19,3,9,8,0,0,556,555,W
46,1,3,19,3,8,7,0,0,555,554,W
47,1,4,27,3,8,6,0,0,554,553,N
48,1,5,27,3,7,4,0,0,553,552,N
49,2,5,31,3,6,2,0,0,552,552,X
1,9,1,7,9,7,6,114,1,0,-1,X
2,9,1,7,9,8,7,114,1,-1,-2,X
3,9,1,7,10,7,7,114,1,-2,-3,X
4,9,1,7,9,7,6,114,1,-3,-4,X
5,9,1,7,9,8,7,114,1,-4,-5,X
6,9,1,7,6,6,8,114,1,-5,94,X
7,8,1,7,5,6,8,113,1,94,193,W
8,7,1,7,4,6,8,112,1,193,292,W
9,6,1,19,4,6,7,111,1,292,291,W
10,6,1,19,4,7,8,111,1,291,390,W
11,6,2,25,4,6,6,110,1,390,489,N
12,6,3,31,4,5,4,109,1,489,588,N
